duration,fade_in,fade_out,loudness,mode,tempo,time_sig,year,artist_fam,artist_pop,song_pop
224.13016,0,224.13,-8.615,1,106.266,4,2009,0.629281364,0.448446456,1
254.48444,0.351,239.613,-13.064,1,117.931,4,1987,0.609742243,0.4785322,1
459.80689,0.148,448.226,-6.156,0,195.288,3,2009,0.635055117,0.376942397,1
104.98567,0.479,99.37,-13.255,1,180.658,4,1986,0.586447953,0.354137849,0
234.37016,0,225.46,-12.745,1,64.8,7,2008,0.59526899,0.49982479,1
461.60934,0.183,461.609,-8.682,1,122.724,4,1995,0.772100694,0.486007176,1
322.5073,2.85,306.736,-6.41,0,220.017,7,1999,0.685496531,0.365411382,1
247.50975,2.432,226.795,-17.102,1,90.727,1,2002,0.544193647,0.420269397,0
371.33016,0.444,363.979,-10.339,0,105.3,4,2000,0.602799182,0.391213885,1
424.95955,0,424.96,-7.034,0,94.669,3,2004,0.635249336,0.455121785,1
214.88281,0.123,207.139,-9.886,1,93.07,4,2007,0.535200991,0.490548823,0
314.61832,1.025,302.463,-9.104,0,90.992,4,2002,0.69078721,0.419215217,0
151.53587,0.502,145.502,-8.253,1,100.158,4,2005,0.837588741,0.55406159,1
315.19302,2.752,282.343,-13.352,1,149.609,4,1979,0.758881219,0.497499394,1
90.77506,0.403,86.43,-18.582,1,99.645,4,1987,0,0.524019558,0
188.21179,0.131,176.036,-5.445,1,119.012,4,2009,0.748536142,0.702594755,1
305.00526,4.824,288.699,-10.782,0,134.417,4,1977,0.678103259,0.448185991,0
139.62404,0.221,125.887,-18.693,1,121.989,4,2007,0.597197819,0.383771282,1
735.16363,3.309,729.414,-9.172,1,196.958,3,1999,0.639883304,0.375494483,0
340.4273,0.1,333.688,-7.218,1,150.036,5,2004,0.415462683,0.323580906,0
34.08934,0.253,34.089,-0.554,0,185.958,1,1997,0.710596177,0.430697351,1
239.98649,0.426,230.899,-5.669,1,93.146,4,2002,0.822908534,0.572027854,0
386.37669,0.337,378.015,-6.774,1,88.99,4,1995,0.608829486,0.424346498,0
147.25179,0.287,144.266,-6.119,0,104.401,1,1985,0.589438703,0.388553529,0
240.24771,0.236,229.175,-7.621,0,107.42,4,1988,0,0.481915894,1
281.44281,0.282,267.546,-12.765,0,113.121,5,1986,0.775244249,0.450053066,0
569.93914,0.426,555.938,-15.734,1,118.506,3,1997,0.621462621,0.412481379,0
86.5171,0.159,79.569,-10.07,1,80.775,3,2007,0.539033283,0.391303332,0
175.75138,0.423,168.919,-11.747,1,134.914,4,1973,0.508202452,0.360773763,0
294.19057,0,278.895,-5.012,1,230.096,7,2003,0.60502865,0.45347031,1
289.95873,0,283.812,-13.093,0,63.043,5,1999,0.575596513,0.352108312,0
233.40363,0.165,225.35,-11.673,1,91.979,4,2009,0,0.314533887,0
208.61342,0,199.308,-12.798,0,81.074,4,2003,0.587630302,0.413131117,0
73.92608,0.556,71.268,-16.226,0,144.86,1,1988,0.726959806,0.45686542,1
214.22975,10.745,207.61,-7.54,1,207.362,4,1990,0.711893841,0.535163042,1
331.91138,0.392,322.014,-17.787,1,72.427,5,2000,0.536607796,0.497741412,1
